gdb_id,Title,Release_Date,Thumb,Platform,URL
3325,Banjo-Kazooie: Grunty's Revenge,9/12/03,boxart/original/front/3325-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3325-1.jpg
3326,Banjo-Pilot,1/12/05,boxart/original/front/3326-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3326-1.jpg
3327,Baseball Advance,3/20/02,boxart/original/front/3327-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3327-1.jpg
3328,Batman: Rise of Sin Tzu,10/27/03,boxart/original/front/3328-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3328-1.jpg
3329,BattleBots: Beyond the BattleBox,12/10/02,boxart/original/front/3329-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3329-1.jpg
3330,Beyblade: G-Revolution,11/18/04,boxart/original/front/3330-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3330-1.jpg
3331,Beyblade VForce: Ultimate Blader Jam,11/18/03,boxart/original/front/3331-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3331-1.jpg
3332,Blackthorne,9/17/03,boxart/original/front/3332-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3332-1.jpg
3333,Boktai: The Sun Is in Your Hand,9/16/03,boxart/original/front/3333-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3333-1.jpg
3334,Boktai 2: Solar Boy Django,10/19/04,boxart/original/front/3334-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3334-1.jpg
3335,Classic NES Series: Bomberman,6/2/04,boxart/original/front/3335-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3335-1.jpg
3336,Bomberman Max 2: Blue Advance,5/30/02,boxart/original/front/3336-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3336-1.jpg
3337,Bomberman Max 2 Red Advance,5/30/02,boxart/original/front/3337-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3337-1.jpg
3338,Bomberman Tournament,6/26/01,boxart/original/front/3338-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3338-1.jpg
3339,Boulder Dash EX,9/16/02,boxart/original/front/3339-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3339-1.jpg
3340,Boxing Fever,10/11/01,boxart/original/front/3340-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3340-1.jpg
3341,Breath of Fire II,4/15/02,boxart/original/front/3341-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3341-1.jpg
3342,Breath of Fire,12/13/01,boxart/original/front/3342-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3342-1.jpg
3343,Britney's Dance Beat,3/25/02,boxart/original/front/3343-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3343-1.jpg
